[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Run CheckRoute Behavior [ RunTime:0.001015s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --END-- [ RunTime:0.001115s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ app_begin ] --START--
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001004s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001100s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ view_template ] --START--
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Run LocationTemplate Behavior [ RunTime:0.000781s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ view_template ] --END-- [ RunTime:0.000871s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ view_parse ] --START--
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Run ParseTemplate Behavior [ RunTime:0.011338s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011495s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --START--
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Run ContentReplace Behavior [ RunTime:0.001609s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Run TokenBuild Behavior [ RunTime:0.000630s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000375s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Run ShowRuntime Behavior [ RunTime:0.000615s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003476s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ view_end ] --START--
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Run ShowPageTrace Behavior [ RunTime:0.000519s ]
[ 2013-07-01T21:24:31+08:00 ] /Index/newsform | INFO: Tag[ view_end ] --END-- [ RunTime:0.000591s ]
[ 2013-07-01T21:24:31+08:00 ] /Public/assets/js/google-code-prettify/prettify.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:24:31+08:00 ] /Public/assets/css/bootstro.min.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:24:32+08:00 ] /Public/assets/img/bs-docs-masthead-pattern.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --START--
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Run CheckRoute Behavior [ RunTime:0.000736s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Tag[ route_check ] --END-- [ RunTime:0.000835s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Tag[ app_begin ] --START--
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000485s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000564s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Tag[ view_template ] --START--
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Run LocationTemplate Behavior [ RunTime:0.000371s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Tag[ view_template ] --END-- [ RunTime:0.000456s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Tag[ view_parse ] --START--
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Run ParseTemplate Behavior [ RunTime:0.015688s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015792s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --START--
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Run ContentReplace Behavior [ RunTime:0.000470s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Run TokenBuild Behavior [ RunTime:0.000492s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000255s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Run ShowRuntime Behavior [ RunTime:0.000495s ]
[ 2013-07-01T21:24:49+08:00 ] /Index/newsform | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001937s ]
